,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420,4,2,3,yes,no,,no,yes,,yes,furnished
1,12250000,8960,4,4,4,yes,no,,no,yes,,no,furnished
2,12250000,9960,3,2,2,yes,no,,,no,,yes,semi-furnished
3,12215000,7500,4,2,2,yes,no,,no,yes,,yes,furnished
4,11410000,7420,4,1,2,yes,yes,,,yes,,no,furnished
5,10850000,7500,3,3,1,yes,no,,,yes,,yes,semi-furnished
6,10150000,8580,4,3,4,yes,no,,,yes,,yes,semi-furnished
7,10150000,16200,5,3,2,yes,no,,no,no,,no,unfurnished
8,9870000,8100,4,1,2,yes,yes,,,yes,,yes,furnished
9,9800000,5750,3,2,4,yes,yes,,,yes,,yes,unfurnished
10,9800000,13200,3,1,2,yes,no,,no,yes,,yes,furnished
11,9681000,6000,4,3,2,yes,yes,,yes,no,,no,semi-furnished
12,9310000,6550,4,2,2,yes,no,,no,yes,,yes,semi-furnished
13,9240000,3500,4,2,2,yes,no,,,no,,no,furnished
14,9240000,7800,3,2,2,yes,no,,no,no,,yes,semi-furnished
15,9100000,6000,4,1,2,yes,no,,,no,,no,semi-furnished
16,9100000,6600,4,2,2,yes,yes,,,yes,,yes,unfurnished
17,8960000,8500,3,2,4,yes,no,,no,yes,,no,furnished
18,8890000,4600,3,2,2,yes,yes,,no,yes,,no,furnished
19,8855000,6420,3,2,2,yes,no,,,yes,,yes,semi-furnished
20,8750000,4320,3,1,2,yes,no,,yes,no,,no,semi-furnished
21,8680000,7155,3,2,1,yes,yes,,,yes,,no,unfurnished
22,8645000,8050,3,1,1,yes,yes,,,yes,,no,furnished
23,8645000,4560,3,2,2,yes,yes,,no,yes,,no,furnished
24,8575000,8800,3,2,2,yes,no,,,yes,,no,furnished
25,8540000,6540,4,2,2,yes,yes,,no,yes,,yes,furnished
26,8463000,6000,3,2,4,yes,yes,yes,,yes,,yes,semi-furnished
27,8400000,8875,3,1,1,yes,no,,,no,,no,semi-furnished
28,8400000,7950,5,2,2,yes,no,,,no,,no,unfurnished
29,8400000,5500,4,2,2,yes,no,,no,yes,,yes,semi-furnished
30,8400000,7475,3,2,4,yes,no,,no,yes,,no,unfurnished
31,8400000,7000,3,1,4,yes,no,,no,yes,,no,semi-furnished
32,8295000,4880,4,2,2,yes,no,,no,yes,,yes,furnished
33,8190000,5960,3,3,2,yes,yes,,no,no,,no,unfurnished
34,8120000,6840,5,1,2,yes,yes,,,yes,,no,furnished
35,8080940,7000,3,2,4,yes,no,,,yes,,no,furnished
36,8043000,7482,3,2,3,yes,no,,,no,,yes,furnished
37,7980000,9000,4,2,4,yes,no,,no,yes,,no,furnished
38,7962500,6000,3,1,4,yes,yes,,,yes,,no,unfurnished
39,7910000,6000,4,2,4,yes,no,,,yes,,no,semi-furnished
40,7875000,6550,3,1,2,yes,no,,no,yes,,yes,furnished
41,7840000,6360,3,2,4,yes,no,,,yes,,yes,furnished
42,7700000,6480,3,2,4,yes,no,,no,yes,,no,unfurnished
43,7700000,6000,4,2,4,yes,no,,,no,,no,semi-furnished
44,7560000,6000,4,2,4,yes,no,,,yes,,no,furnished
45,7560000,6000,3,2,3,yes,no,,,yes,,no,semi-furnished
46,7525000,6000,3,2,4,yes,no,,no,yes,,no,furnished
47,7490000,6600,3,1,4,yes,no,,,yes,,yes,furnished
48,7455000,4300,3,2,2,yes,no,,,no,,no,unfurnished
49,7420000,7440,3,2,1,yes,yes,,,yes,,yes,semi-furnished
50,7420000,7440,3,2,4,yes,no,,,no,,yes,unfurnished
